,sentence
0,Era yayokebwa bwokebwa.
1,Ekkolero erikola sabbuuni lijja kuteekebwawo mu kibangirizi.
2,Nkakasa nti ono omwana tannaweza myaka egitulagirwa omuntu okumukkiriza.
3,Abakwasi b'enseenene bakozesa amataala okuzisikiriza ekiro.
4,Bwe gutaba mwenge mu kkanisa ya Mukama.
5,Ebintu bya Uganda byonna binyuma.
6,Abavuzi ba biroole abalina akawuka ka kolona beeyongedde okuyingira mu ggwanga.
7,Basoosa omunafu ne basembyayo ow’amaanyi ng'abapena bakooye.
8,Obubaka bwakungaanyizibwa okuyita mu ngeri bbiri.
9,Ebyo eby'okuzimba binajja nga tumaze okuzaala.
10,Okimanyi nti nsobola okukukubira enduulu nti oyagala kumpamba!
11,Abakulembeze ba Uganda balina omwoyo gw'eggwanga.
12,Yafunira wa obuzibu bwe butyo?
13,Omujaasi ow’emmundu tomalanga gamuzannyirako.
14,Omuwala oyo yatonderwamu amagi kafukunya ng'akaagula Mukono.
15,Kituyambye okufuna obumanyirivu mu buweereza n'obukulembeze.
16,Baalagirizaayo eccupa za bbiya ssatu.
17,Yali yasiba akaleediyo ku ppiki nga kagenda kabuukula.
18,Omukyala yagamba nti ebyo katubireke y’anaamanya.
19,"Okuumanga abaana bange bonna, abajjwa n'abazzukulu"
20,"Agamba nti bano olwalabye nga Engenyi afudde, famire yonna n'edduka kati baliira ku nsiko."
21,Omwogezi w'ekibiina Okeler Opio bw'agambye.
22,Kino kitegeeza nti oludda oluvuganya lwalemeddwa okukkaanya.
23,Kkooti egonjoola enkaayana ku ttaka.
24,Ekitundu kijja kuba kinywevu okuggyako singa abantu bakiriza okwegatta.
25,Empetero ly’Ekkoona.
26,Abayizi ba ddembe obutakola bibuuzo by'akamalirizo.
27,Obutonde bw’omukazi tebumuganya kuvuga ggaali.
28,"Omusajja oyo yakambuwala, era buli mukazi gw’awasa amulemererwa."
29,Olowooza okuba n'obulwadde bwa ssukaali kiva mu kunywa ssukaali mungi.
30,Gano ge mannya asatu agayitibwa abakubi b’amadinda nga bagakuba.
31,"Obukozi bwe nno obwo, bwamuleetera emikisa nkuyanja."
32,Mu ntalo ze yalina n’Abanyoro.
33,Olugero luno lulabula bantu butaba na mululu guyitiridde
34,Ensonga ki enkulu ze nnoonya mu kusoma kuno?
35,Amalwaliro ag'obwannannyini bulijjo ga bbeeyi eri abalwadde abamu okugasobola.
36,Weewaawo ensangi zino eriyo n’obumyufu.
37,Kubanga aba yeetisse omwana atali wa kika ekyo.
38,Olukungaana luno lwakutuula okumala ennaku nnya e Munyonyo.
39,"Kati lumu tuba tuli mu kkanisa nga tusaba, omusumba ng'ayimba oluyimba olugamba nti."
40,Yakonkonamu gumu eyali munda n’aggulawo.
41,Ani asobola okukwatibwa ssennyiga omukambwe?
42,"Bano bagamba nti, baagala kuwagira munnakibiina kya National Unity Platform , Robert Kyagulanyi Ssentamu."
43,Ggoofu azannyibwa bantu babanguseeko ate nga balina emirimu egibasasula obulungi.
44,Ensobi ekolebwa muntu.
